Model;Instance;element;Name;Start Waiting;Start;End;Waiting Time;Process Time;Fixed Cost;Variable Cost;Resources;GetStores;PutStores
Credit Application Credit Officer;instance1346;END;Credit application processed;26966.452529280617;26966.452529280617;26966.452529280617;0.0;0.0;0;0;;;
Credit Application Clerk;instance1348;activity;Check income sources;26959.926255127008;26959.926255127008;26978.952133441384;0.0;19.025878314374815;5;9.512939157187407;Clerk;;
Credit Application Clerk;instance1348;intermediate;Credit Application checked;26978.952133441384;26978.952133441384;26978.952133441384;0.0;0.0;0;0;;;Application store
Credit Application Credit Officer;instance1348;START;Credit application received;26978.952133441384;26978.952133441384;26978.952133441384;0.0;0.0;0;0;;Application store;
Credit Application Clerk;instance1349;START;Credit application received;26980.071410444445;26980.071410444445;26980.071410444445;0.0;0.0;0;0;;;
Credit Application Credit Officer;instance1347;activity;Assess application;26956.95855777012;26956.95855777012;26980.610391789927;0.0;23.65183401981084;5;23.65183401981084;Credit Officer;;
Credit Application Clerk;instance1349;activity;Check income sources;26980.071410444445;26980.071410444445;26988.740504146426;0.0;8.669093701981588;5;4.334546850990794;Clerk;;
Credit Application Clerk;instance1349;activity;Check credit history;26980.071410444445;26980.071410444445;26988.800951932997;0.0;8.729541488550385;5;4.364770744275193;Clerk;;
Credit Application Clerk;instance1349;intermediate;Credit Application checked;26988.800951932997;26988.800951932997;26988.800951932997;0.0;0.0;0;0;;;Application store
Credit Application Credit Officer;instance1349;START;Credit application received;26988.800951932997;26988.800951932997;26988.800951932997;0.0;0.0;0;0;;Application store;
Credit Application Credit Officer;instance1347;activity;Make credit offer;26980.610391789927;26980.610391789927;26990.49071756712;0.0;9.880325777194985;5;9.880325777194985;Credit Officer;;
Credit Application Credit Officer;instance1347;END;Credit application processed;26990.49071756712;26990.49071756712;26990.49071756712;0.0;0.0;0;0;;;
Credit Application Clerk;instance1348;activity;Send e-mail to customer;26978.952133441384;26978.952133441384;26993.24366915058;0.0;14.291535709193575;5;7.145767854596787;Clerk;;
Credit Application Clerk;instance1348;END;Customer notified;26993.24366915058;26993.24366915058;26993.24366915058;0.0;0.0;0;0;;;
Credit Application Clerk;instance1349;activity;Send e-mail to customer;26988.800951932997;26988.800951932997;26997.636097055445;0.0;8.835145122448804;5;4.417572561224402;Clerk;;
Credit Application Clerk;instance1349;END;Customer notified;26997.636097055445;26997.636097055445;26997.636097055445;0.0;0.0;0;0;;;
Credit Application Credit Officer;instance1348;activity;Assess application;26978.952133441384;26978.952133441384;26998.97046222358;0.0;20.01832878219534;5;20.01832878219534;Credit Officer;;
Credit Application Clerk;instance1350;START;Credit application received;27000.73108381284;27000.73108381284;27000.73108381284;0.0;0.0;0;0;;;
Credit Application Clerk;instance1350;activity;Check income sources;27000.73108381284;27000.73108381284;27010.494673711575;0.0;9.763589898735832;5;4.881794949367916;Clerk;;
Credit Application Credit Officer;instance1349;activity;Assess application;26988.800951932997;26990.49071756712;27010.90479672156;1.6897656341243419;20.41407915443784;5;20.41407915443784;Credit Officer;;
Credit Application Credit Officer;instance1348;activity;Make credit offer;26998.97046222358;26998.97046222358;27011.23488733629;0.0;12.264425112708878;5;12.264425112708878;Credit Officer;;
Credit Application Credit Officer;instance1348;END;Credit application processed;27011.23488733629;27011.23488733629;27011.23488733629;0.0;0.0;0;0;;;
Credit Application Clerk;instance1350;activity;Check credit history;27000.73108381284;27000.73108381284;27011.86968842268;0.0;11.138604609842758;5;5.569302304921379;Clerk;;
Credit Application Clerk;instance1350;intermediate;Credit Application checked;27011.86968842268;27011.86968842268;27011.86968842268;0.0;0.0;0;0;;;Application store
Credit Application Credit Officer;instance1350;START;Credit application received;27011.86968842268;27011.86968842268;27011.86968842268;0.0;0.0;0;0;;Application store;
Credit Application Clerk;instance1351;START;Credit application received;27020.10339687097;27020.10339687097;27020.10339687097;0.0;0.0;0;0;;;
Credit Application Credit Officer;instance1349;activity;Make credit offer;27010.90479672156;27010.90479672156;27022.20887872255;0.0;11.304082000993088;5;11.304082000993088;Credit Officer;;
Credit Application Credit Officer;instance1349;END;Credit application processed;27022.20887872255;27022.20887872255;27022.20887872255;0.0;0.0;0;0;;;
Credit Application Clerk;instance1350;activity;Send e-mail to customer;27011.86968842268;27011.86968842268;27022.573502255746;0.0;10.703813833063712;5;5.351906916531856;Clerk;;
Credit Application Clerk;instance1350;END;Customer notified;27022.573502255746;27022.573502255746;27022.573502255746;0.0;0.0;0;0;;;
Credit Application Clerk;instance1351;activity;Check income sources;27020.10339687097;27020.10339687097;27026.219522487474;0.0;6.116125616503182;5;3.058062808251591;Clerk;;
Credit Application Clerk;instance1351;activity;Check credit history;27020.10339687097;27020.10339687097;27031.262097193794;0.0;11.158700322822535;5;5.579350161411267;Clerk;;
Credit Application Clerk;instance1351;intermediate;Credit Application checked;27031.262097193794;27031.262097193794;27031.262097193794;0.0;0.0;0;0;;;Application store
Credit Application Credit Officer;instance1351;START;Credit application received;27031.262097193794;27031.262097193794;27031.262097193794;0.0;0.0;0;0;;Application store;
